Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Nigeria,2014,Total,177155754,90350541,86805213,100,100,100,104.1
Nigeria,2014,0-4,29154053,14926293,14227760,16.5,16.5,16.4,104.9
Nigeria,2014,9-May,25138706,12862588,12276118,14.2,14.2,14.1,104.8
Nigeria,2014,14-Oct,22212282,11362423,10849859,12.5,12.6,12.5,104.7
Nigeria,2014,15-19,18411640,9413431,8998209,10.4,10.4,10.4,104.6
Nigeria,2014,20-24,15807010,8072686,7734324,8.9,8.9,8.9,104.4
Nigeria,2014,25-29,13624906,6959590,6665316,7.7,7.7,7.7,104.4
Nigeria,2014,30-34,11788623,6043909,5744714,6.7,6.7,6.6,105.2
Nigeria,2014,35-39,9753209,5030607,4722602,5.5,5.6,5.4,106.5
Nigeria,2014,40-44,7688913,4006142,3682771,4.3,4.4,4.2,108.8
Nigeria,2014,45-49,6175196,3173742,3001454,3.5,3.5,3.5,105.7
Nigeria,2014,50-54,4952613,2483654,2468959,2.8,2.7,2.8,100.6
Nigeria,2014,55-59,3881005,1905090,1975915,2.2,2.1,2.3,96.4
Nigeria,2014,60-64,3083927,1488541,1595386,1.7,1.6,1.8,93.3
Nigeria,2014,65-69,2381655,1150706,1230949,1.3,1.3,1.4,93.5
Nigeria,2014,70-74,1599245,770981,828264,0.9,0.9,1,93.1
Nigeria,2014,75-79,921052,436126,484926,0.5,0.5,0.6,89.9
Nigeria,2014,80-84,422138,194251,227887,0.2,0.2,0.3,85.2
Nigeria,2014,85-89,132037,58359,73678,0.1,0.1,0.1,79.2
Nigeria,2014,90-94,24870,10382,14488,0,0,0,71.7
Nigeria,2014,95-99,2537,989,1548,0,0,0,63.9
Nigeria,2014,100+,137,51,86,0,0,0,59.3
